region	rep	percent_CD69	time
ctrl	1	69.4	2.5
ctrl	2	70.2	2.5
ctrl	3	72.6	2.5
1	1	70	2.5
1	2	70.2	2.5
1	3	68.8	2.5
1	4	72.1	2.5
1	5	74.6	2.5
1	6	68.5	2.5
2	1	60.8	2.5
2	2	61.8	2.5
2	3	60	2.5
2	4	55.5	2.5
2	5	49.9	2.5
2	6	49.5	2.5
3	1	33	2.5
3	2	30.8	2.5
3	3	30.2	2.5
3	4	13.1	2.5
3	5	13.3	2.5
3	6	12.4	2.5
4	1	4.69	2.5
4	2	4.56	2.5
4	3	4.31	2.5
4	4	17.9	2.5
4	5	14.9	2.5
4	6	15.5	2.5
5	1	73.5	2.5
5	2	70.8	2.5
5	3	71.9	2.5
5	4	66.9	2.5
5	5	67.2	2.5
5	6	66.5	2.5
prom	1	11	2.5
prom	2	11.1	2.5
prom	3	9.15	2.5
prom	4	2.61	2.5
prom	5	2.2	2.5
prom	6	1.96	2.5
intron	1	31.4	2.5
intron	2	32.3	2.5
intron	3	31.3	2.5
intron	4	9.79	2.5
intron	5	11	2.5
intron	6	14	2.5
ctrl	1	85.8	5
ctrl	2	84	5
ctrl	3	85.7	5
1	1	88.7	5
1	2	86.4	5
1	3	85.6	5
1	4	89.9	5
1	5	89.2	5
1	6	87.2	5
2	1	85.2	5
2	2	85	5
2	3	84	5
2	4	76.2	5
2	5	74.5	5
2	6	75.2	5
3	1	49.8	5
3	2	48.5	5
3	3	49.1	5
3	4	23.6	5
3	5	22.9	5
3	6	23.1	5
4	1	8.11	5
4	2	7.82	5
4	3	7.93	5
4	4	28.9	5
4	5	27.3	5
4	6	25.9	5
5	1	88.6	5
5	2	89	5
5	3	88.1	5
5	4	86.8	5
5	5	85.9	5
5	6	86.5	5
prom	1	16.3	5
prom	2	15.7	5
prom	3	15.4	5
prom	4	4.31	5
prom	5	3.78	5
prom	6	3.57	5
intron	1	42.8	5
intron	2	41.6	5
intron	3	44.7	5
intron	4	12.9	5
intron	5	14.9	5
intron	6	13.3	5
